n,trial,bf_len,bf_time,bf_mem,hk_len,hk_time,hk_mem,nn_len,nn_time,nn_mem,lk_len,lk_time,lk_mem
5,0,206.6038096967772,0.00016058899998938614,1.125,206.60380969677718,0.00025409500000250773,3.015625,206.6038096967772,0.00012197300000593714,1.75,206.6038096967772,0.0002238430000147673,1.75
5,1,228.2254678071979,0.00015448299998865878,0.9453125,228.22546780719787,0.00022470499999371896,2.828125,228.22546780719787,0.00012514499999838335,1.75,228.2254678071979,0.0002142419999984213,1.75
5,2,245.47753943892585,0.00015040699997825868,0.9453125,245.47753943892585,0.00027869299998428687,2.828125,245.47753943892582,0.0001235099999803424,1.75,245.47753943892585,0.00021967300000369505,1.75
5,3,174.92849079214534,0.00015355700000441175,1.0,174.92849079214534,0.00021555600000056074,2.828125,177.8612381669548,0.00012914800001340154,1.75,177.8612381669548,0.0007872500000019045,4.8193359375
5,4,154.25166996861915,0.0002615410000146312,1.0546875,154.25166996861915,0.00036674200001129975,2.828125,154.25166996861913,0.0002054150000105892,1.75,154.25166996861915,0.00040651000000480053,1.75
5,5,201.77840526190062,0.0002646630000242567,1.109375,201.77840526190062,0.0003980299999852832,2.828125,201.77840526190062,0.00022828699999877244,1.75,201.77840526190062,0.00039406400000530084,1.75
5,6,215.49893328800513,0.0002906670000015765,1.0,215.49893328800516,0.00041010600000390696,2.828125,215.49893328800513,0.00020929699999783224,1.75,215.49893328800513,0.0003906489999963014,1.75
5,7,251.57951175814134,0.00028396399997632216,0.890625,251.57951175814134,0.0003596919999893089,2.828125,251.57951175814134,0.0002133939999851009,1.75,251.57951175814134,0.00039871300000982046,1.75
5,8,179.19873967083043,0.0002617479999855732,0.890625,179.19873967083043,0.00039385799999536175,2.828125,179.19873967083043,0.0002336899999875186,1.75,179.19873967083043,0.000394618000001401,1.75
5,9,190.6155189484315,0.0002657999999939875,0.890625,190.61551894843146,0.00040638100000478516,2.828125,190.6155189484315,0.00021017000000256303,1.75,190.6155189484315,0.00036947999998915293,1.75
6,0,229.28168115522465,0.0012837670000180879,1.0390625,229.28168115522462,0.0017776169999876856,6.8251953125,249.61939050314982,0.0003048270000078901,1.75,229.28168115522465,0.0010636620000070707,1.75
6,1,232.8060383078582,0.0012494590000073913,0.9609375,232.80603830785822,0.0008626940000056038,5.4921875,232.80603830785816,0.00029088899998441775,1.75,232.8060383078582,0.0005594609999945988,1.75
6,2,288.9439995428559,0.0012842099999943457,0.90625,288.9439995428559,0.0009149900000124944,5.4921875,288.9439995428559,0.00036234399999557354,1.75,288.9439995428559,0.0005655549999801224,1.75
6,3,183.99657300027013,0.0013807910000025458,0.90625,183.99657300027013,0.0008708430000012868,5.4921875,183.99657300027013,0.0003549040000052628,1.75,183.99657300027013,0.0005727550000074189,1.75
6,4,278.9802363507661,0.0012968400000090696,0.90625,278.9802363507661,0.0008923169999945912,5.4921875,278.98023635076606,0.0002760320000163574,1.75,278.9802363507661,0.0006338919999961945,1.75
6,5,216.75231963431796,0.0016973070000005919,0.90625,216.75231963431793,0.0009008990000154427,5.4921875,216.75231963431793,0.00035836899999708294,1.75,216.75231963431796,0.0004926549999879626,1.75
6,6,251.7171609582362,0.0013682659999858515,0.90625,251.7171609582362,0.0016218380000054822,5.4921875,253.39604616215442,0.00030565400001592025,1.75,251.7171609582362,0.0011857140000017807,1.75
6,7,187.1732224791418,0.0012638660000163782,0.90625,187.1732224791418,0.0009213430000158951,5.4921875,187.1732224791418,0.00034635100001878527,1.75,187.1732224791418,0.000582605999994712,1.75
6,8,284.63380811716314,0.0012558350000233531,0.90625,284.6338081171631,0.000894546000012042,5.4921875,284.6338081171631,0.0003028229999983978,1.75,284.63380811716314,0.0006284860000107528,1.75
6,9,213.02945390399836,0.0012486899999828438,0.90625,213.02945390399836,0.0008647859999939556,5.4921875,213.02945390399836,0.0002996650000000045,1.75,213.02945390399836,0.0005793090000167922,1.75
7,0,195.42002968804093,0.004848993000024393,1.1015625,195.42002968804093,0.0015670850000049086,25.1875,195.42002968804093,0.0002725049999980911,1.75,195.42002968804093,0.00047730200000728473,1.75
7,1,241.2705018419764,0.004329011000010041,0.953125,241.2705018419764,0.0015427079999881244,24.625,241.2705018419764,0.00024345699998207238,1.75,241.2705018419764,0.00048022299998251583,1.75
7,2,264.671231632664,0.004213896000010209,0.953125,264.671231632664,0.0014636189999919225,24.625,305.90211230530605,0.0003846529999975701,1.75,264.671231632664,0.000887246000019104,1.75
7,3,254.9180595190447,0.004258673999999019,0.953125,254.91805951904468,0.0014926270000046316,24.625,284.8173292999128,0.00025252200001091296,1.75,254.9180595190447,0.0010539609999966615,1.75
7,4,266.5093342478358,0.004187978999993902,0.953125,266.5093342478358,0.0014134689999991679,24.625,266.5093342478358,0.00023666600000638027,1.75,266.5093342478358,0.0004364259999931619,1.75
7,5,289.2816639457447,0.00419435600002771,0.953125,289.2816639457447,0.0014669900000114922,24.625,289.2816639457447,0.0002345350000041435,1.75,289.2816639457447,0.00045209399999635025,1.75
7,6,216.82695611230494,0.005682049999990113,0.953125,216.82695611230494,0.001850654999998369,24.625,216.8269561123049,0.00027320099999883496,1.75,216.82695611230494,0.00047678799998607246,1.75
7,7,374.74553507145055,0.004293355999976711,0.953125,374.74553507145055,0.0014973150000230362,24.6015625,374.74553507145055,0.00024454000001128406,1.75,374.74553507145055,0.00046711400000276626,1.75
7,8,235.8853196506562,0.004230562999993026,0.953125,235.8853196506562,0.001484373000010919,24.625,235.8853196506562,0.0002460370000108014,1.75,235.8853196506562,0.00045185300001548967,1.75
